Time;Perf_Time;Action
14:05:10;1816996.151163931;I
14:05:10;1816996.3301742;SPACE
14:05:10;1816996.456017225;w
14:05:10;1816996.61315669;a
14:05:10;1816996.722397326;s
14:05:10;1816996.818883963;SPACE
14:05:11;1816997.029899108;p
14:05:11;1816997.134816942;l
14:05:11;1816997.482763929;y
14:05:11;1816997.887152098;BACK
14:05:11;1816997.925452498;a
14:05:12;1816998.14929655;y
14:05:12;1816998.318631426;i
14:05:12;1816998.422178311;n
14:05:12;1816998.559842704;g
14:05:14;1817000.571659129;
14:05:23;1817009.398370493; a game, I knew I had a lot of potential but
14:05:24;1817010.125209501; it just never seemed to work out.
14:05:24;1817010.74142594;" \n\n""You just try and work hard and that's"
14:05:25;1817011.362275237; what we tried to do, get into that mix with the
